Ainit T val
24 1321 0
26 1321 0
28 1321 0
30 1321 0
32 1321 0
34 1321 0
36 1321 0
38 1321 0
40 1321 0
42 1321 0
44 1321 0
46 1321 0
48 1321 0
50 1321 0
0 1351 0
2 1351 0
4 1351 0
6 1351 0
8 1351 0
10 1351 0
12 1351 0
14 1351 0
16 1351 0
18 1351 0
20 1351 0
22 1351 0
24 1351 0
26 1351 0
28 1351 0
30 1351 0
32 1351 0
34 1351 0
36 1351 0
38 1351 0
40 1351 0
42 1351 0
44 1351 0
46 1351 0
48 1351 0
50 1351 0
0 1381 0
2 1381 0
4 1381 0
6 1381 0
8 1381 0
10 1381 0
12 1381 0
14 1381 0
16 1381 0
18 1381 0
20 1381 0
22 1381 0
24 1381 0
26 1381 0
28 1381 0
30 1381 0
32 1381 0
34 1381 0
36 1381 0
38 1381 0
40 1381 0
42 1381 0
44 1381 0
46 1381 0
48 1381 0
50 1381 1.125
0 1411 0
2 1411 0
4 1411 0
6 1411 0
8 1411 0
10 1411 0
12 1411 0
14 1411 0
16 1411 0
18 1411 0
20 1411 0
22 1411 0
24 1411 0
26 1411 0
28 1411 0
30 1411 0
32 1411 0
34 1411 0
36 1411 0
38 1411 0
40 1411 0
42 1411 0
44 1411 0
46 1411 0
48 1411 0
50 1411 0
0 1441 0
2 1441 0
4 1441 0
6 1441 0
8 1441 0
10 1441 0
12 1441 0
14 1441 0
16 1441 0
18 1441 0
20 1441 0
22 1441 0
24 1441 0
26 1441 0
28 1441 0
30 1441 0
32 1441 0
34 1441 0
36 1441 0
38 1441 0
40 1441 0
42 1441 0
44 1441 0
46 1441 0
48 1441 0
50 1441 0
0 1471 0
2 1471 0
4 1471 0
6 1471 0
8 1471 0
10 1471 0
12 1471 0
14 1471 0
16 1471 0
18 1471 0
20 1471 0
22 1471 0
24 1471 0
26 1471 0
28 1471 0
30 1471 0
32 1471 0
34 1471 0
36 1471 0
38 1471 0
40 1471 0
42 1471 0
44 1471 0
46 1471 0
48 1471 0
50 1471 1.28571
0 1501 0
2 1501 0
4 1501 0
6 1501 0
8 1501 0
10 1501 0
12 1501 0
14 1501 0
16 1501 0
18 1501 0
20 1501 0
22 1501 0
24 1501 0
26 1501 0
28 1501 0
30 1501 0
32 1501 0
34 1501 0
36 1501 0
38 1501 0
40 1501 0
42 1501 0
44 1501 0
46 1501 0
48 1501 0
50 1501 0
